State,2019 EVs,2019 EVPercent,2021 EVs,2021 EVPercent
AL,1007,0.0052,2890,0.003
AK,143,0.0058,940,0.0009
AZ,7591,0.0252,28770,0.027999999999999997
AR,538,0.0045000000000000005,1330,0.0013
CA,145020,0.07440000000000001,425300,0.42
CO,9007,0.0285,24670,0.024
CT,3310,0.0196,9040,0.009000000000000001
DE,822,0.0177,1950,0.002
DC,1015,0.0541,2360,0.0023
FL,15794,0.013000000000000001,58160,0.057
GA,5138,0.0121,23530,0.023
HI,3117,0.0317,10670,0.011000000000000001
ID,538,0.0091,2300,0.0023
IL,7630,0.013300000000000001,26000,0.026000000000000002
IN,2207,0.009399999999999999,6990,0.006999999999999999
IA,753,0.0068000000000000005,2260,0.0022
KS,847,0.009899999999999999,3130,0.0031
KY,804,0.0054,2650,0.0026
LA,720,0.0034000000000000002,1950,0.0019
ME,989,0.0151,1920,0.0019
MD,6806,0.024900000000000002,17970,0.018000000000000002
MA,7858,0.0225,21010,0.021
MI,1830,0.0031,10620,0.01
MN,3640,0.0139,10380,0.01
MS,273,0.0028000000000000004,780,0.0008
MO,2053,0.0085,6740,0.0066
MT,318,0.006500000000000001,940,0.0009
NE,516,0.0068000000000000005,1810,0.0018
NV,3227,0.023,11040,0.011000000000000001
NH,1030,0.0121,2690,0.0026
NJ,9433,0.0165,30420,0.03
NM,787,0.0101,2620,0.0026
NY,14823,0.0151,32590,0.032
NC,5393,0.013600000000000001,16190,0.016
ND,114,0.0031,220,0.0002
OH,5903,0.0101,14530,0.013999999999999999
OK,774,0.0032,3410,0.0034000000000000002
OR,7063,0.0437,22850,0.022000000000000002
PA,6354,0.01,17530,0.017
RI,682,0.0128,1580,0.0016
SC,1335,0.0064,4390,0.0043
SD,186,0.0051,410,0.0004
TN,2122,0.0084,7810,0.008
TX,5780,0.004699999999999999,52190,0.051
UT,3029,0.018500000000000003,11230,0.011000000000000001
VT,1005,0.023399999999999997,2230,0.0022
VA,7014,0.0189,20510,0.02
WA,12172,0.0426,50520,0.05
WV,250,0.0049,600,0.0006
WI,1962,0.008100000000000001,6310,0.0062
WY,144,0.004,330,0.0003
